sample_id,conc (ng/ul),callset_order,sequencing_date,sampleset_id,fastq_1_path,fastq_2_path,bam_path,vcf_path,legacy_id,country,location,admin1_name,latitude,longitude,sequencing_qc_pass,data_qc_pass,analysis_pop,pop_code,SuperPopulation,collection_method,collection_date,reference,note
AfNA1,5.3,0,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNA1/AfNA1_EKDN230047593-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNA1/AfNA1_EKDN230047593-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNA1_EKDN230047593-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNA1_EKDN230047593-1A_22FNL2LT3_L7.g.vcf.gz,AfNA1,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfNC4,2.6,1,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNC4/AfNC4_EKDN230047600-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNC4/AfNC4_EKDN230047600-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNC4_EKDN230047600-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNC4_EKDN230047600-1A_22FNL2LT3_L7.g.vcf.gz,AfNC4,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfNC7,2.5,2,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNC7/AfNC7_EKDN230047605-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNC7/AfNC7_EKDN230047605-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNC7_EKDN230047605-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNC7_EKDN230047605-1A_22FNL2LT3_L7.g.vcf.gz,AfNC7,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfND7,2.9,3,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfND7/AfND7_EKDN230047606-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfND7/AfND7_EKDN230047606-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfND7_EKDN230047606-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfND7_EKDN230047606-1A_22FNL2LT3_L7.g.vcf.gz,AfND7,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfND8,2.5,4,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfND8/AfND8_EKDN230047610-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfND8/AfND8_EKDN230047610-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfND8_EKDN230047610-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfND8_EKDN230047610-1A_22FNL2LT3_L7.g.vcf.gz,AfND8,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfNE1,8.8,5,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNE1/AfNE1_EKDN230047595-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNE1/AfNE1_EKDN230047595-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNE1_EKDN230047595-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNE1_EKDN230047595-1A_22FNL2LT3_L7.g.vcf.gz,AfNE1,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfNE6,2.6,6,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNE6/AfNE6_EKDN230047603-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNE6/AfNE6_EKDN230047603-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNE6_EKDN230047603-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNE6_EKDN230047603-1A_22FNL2LT3_L7.g.vcf.gz,AfNE6,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfNE7,2.8,7,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNE7/AfNE7_EKDN230047607-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNE7/AfNE7_EKDN230047607-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNE7_EKDN230047607-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNE7_EKDN230047607-1A_22FNL2LT3_L7.g.vcf.gz,AfNE7,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfNF1,6.9,8,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNF1/AfNF1_EKDN230047596-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNF1/AfNF1_EKDN230047596-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNF1_EKDN230047596-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNF1_EKDN230047596-1A_22FNL2LT3_L7.g.vcf.gz,AfNF1,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
AfNF2,7.1,9,13/11/2023,pak.afg.20231204,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNF2/AfNF2_EKDN230047599-1A_22FNL2LT3_L7_1.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/X204SC23112810-Z01-F001_02/01.RawData/AfNF2/AfNF2_EKDN230047599-1A_22FNL2LT3_L7_2.fq.gz,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf_bam/AfNF2_EKDN230047599-1A_22FNL2LT3_L7.bam,/home/dennist/lstm_data/cease/reads_gvcf/pak.afg.20231204/gvcf/AfNF2_EKDN230047599-1A_22FNL2LT3_L7.g.vcf.gz,AfNF2,Afghanistan,Nangarhar,Nangarhar,34.1718,70.6217,1,1,Afghanistan & Pakistan,APA,Asia,larvae,01/01/2017,see https://malariajournal.biomedcentral.com/articles/10.1186/s12936-019-2884-x#Sec2,"year approx. could be 2014,15 or 17"
