ID,COUNTRY_NAME,ISO2,SITE_NAME,LATITUDE,LONGITUDE,VECTOR_SPECIES_COMPLEX,VECTOR_SPECIES,STAGE,YEAR_START,MONTH_START,YEAR_END,MONTH_END,SAMPLING_METHOD,MOSQUITO_NUMBER,BREEDING_HABITAT,ID_METHOD,CITATION,CITATION_URL,DATA_CURATOR,INVASIVE_STATUS,ADMIN1
11,Myanmar,MM,Nyaungnibin,21.898000,96.057000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
12,Myanmar,MM,Nweyone village,22.586000,95.996000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
13,Myanmar,MM,Shwepyi village,22.586000,95.996000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
14,Myanmar,MM,Sezone village,21.734000,96.116000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
15,Myanmar,MM,Aungpintha,20.879000,95.815000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
16,Myanmar,MM,Lunkyaw village,21.642000,96.148000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
17,Myanmar,MM,Legwa village,20.835000,95.216000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
18,Myanmar,MM,Semikan village,21.309000,95.444000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
19,Myanmar,MM,Tagaung village,22.864000,95.996000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
20,Myanmar,MM,Shwenyaungbin,22.917000,96.283000,An. stephensi,Not available,ADULTS,1998,May,2000,March,"Man biting indoors, man biting outdoors, animal baited net trap, house resting inside",Not available,Not available,Morphology,"Ool, T.T., Storch, V. and Becker, N. (2004).  Review of the anopheline mosquitoes of Myanmar. Journal of Vector Ecology, 29(1):21-40",,"Sinka et al. (2020) A new malaria vector in Africa: Predicting the expansion range of Anopheles stephensi and identifying the urban populations at risk, PNAS, DOI: 10.1073/pnas.2003976117ct",Native,Not available
